HRR,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months",senior_ratio,population_density,hospital_utilization
"Dothan, AL",504.0,919.0,33.0,71.0,290096.0,65608.0,58019.0,12270.0,2687.0,818.0,162.0,89.0,61.0,409.0,81.0,45.0,31.0,267.0,53.0,29.0,20.0,179.0,542.0,252.0,166.0,90.0,273.0,127.0,83.0,58.0,176.0,82.0,54.0,0.2261596161270751,217.3003745318352,0.6224719101123595
"Dubuque, IA",228.0,373.0,8.0,13.0,125779.0,28314.0,25156.0,5318.0,1164.0,355.0,156.0,95.0,69.0,177.0,78.0,47.0,34.0,116.0,51.0,31.0,22.0,78.0,975.0,600.0,433.0,39.0,488.0,300.0,217.0,25.0,313.0,192.0,139.0,0.2251091199643819,242.8166023166023,0.5598455598455598
"Duluth, MN",508.0,914.0,73.0,145.0,274471.0,63578.0,54894.0,11638.0,2555.0,776.0,153.0,85.0,59.0,388.0,76.0,42.0,29.0,253.0,50.0,28.0,19.0,170.0,233.0,117.0,78.0,85.0,116.0,59.0,39.0,56.0,77.0,39.0,26.0,0.2316383151589785,208.09021986353295,0.6148597422289613
"Durham, NC",1125.0,2815.0,241.0,516.0,1097252.0,224839.0,219450.0,45967.0,9951.0,3064.0,272.0,109.0,68.0,1532.0,136.0,54.0,34.0,999.0,89.0,35.0,22.0,663.0,275.0,128.0,84.0,332.0,138.0,64.0,42.0,216.0,90.0,42.0,27.0,0.204910995833227,243.5631520532741,0.7502774694783574
"East Long Island, NY",1230.0,5564.0,235.0,582.0,3811249.0,751403.0,762250.0,159104.0,34299.0,10607.0,862.0,191.0,107.0,5303.0,431.0,95.0,54.0,3459.0,281.0,62.0,35.0,2287.0,973.0,393.0,246.0,1143.0,486.0,196.0,123.0,746.0,317.0,128.0,80.0,0.1971540038449337,385.0913408103466,0.8757199151257957
"El Paso, TX",753.0,1420.0,51.0,162.0,839182.0,146112.0,167836.0,34665.0,7378.0,2311.0,307.0,163.0,111.0,1156.0,154.0,81.0,55.0,754.0,100.0,53.0,36.0,492.0,965.0,304.0,180.0,246.0,482.0,152.0,90.0,160.0,314.0,99.0,58.0,0.1741124094654079,402.29242569511024,0.6390220517737296
"Elgin, IL",475.0,857.0,67.0,104.0,610597.0,100811.0,122119.0,25118.0,5318.0,1675.0,353.0,195.0,135.0,837.0,176.0,98.0,68.0,546.0,115.0,64.0,44.0,355.0,530.0,341.0,250.0,177.0,264.0,170.0,125.0,116.0,173.0,112.0,82.0,0.1651023506502652,492.81436642453593,0.6166263115415658
"Elmira, NY",361.0,699.0,14.0,54.0,255069.0,58415.0,51014.0,10803.0,2369.0,720.0,199.0,103.0,69.0,360.0,100.0,52.0,35.0,235.0,65.0,34.0,23.0,158.0,1129.0,293.0,168.0,79.0,564.0,146.0,84.0,52.0,371.0,96.0,55.0,0.2290164622121857,246.20559845559845,0.6515444015444015
"Elyria, OH",214.0,333.0,21.0,42.0,200261.0,44042.0,40052.0,8447.0,1843.0,563.0,263.0,169.0,124.0,282.0,132.0,85.0,62.0,184.0,86.0,55.0,41.0,123.0,586.0,293.0,195.0,61.0,290.0,145.0,97.0,40.0,190.0,95.0,63.0,0.2199230004843679,442.0772626931568,0.5275938189845475
"Erie, PA",706.0,1305.0,88.0,136.0,561138.0,130069.0,112228.0,23795.0,5225.0,1586.0,225.0,122.0,83.0,793.0,112.0,61.0,42.0,517.0,73.0,40.0,27.0,348.0,395.0,256.0,189.0,174.0,198.0,128.0,95.0,114.0,130.0,84.0,62.0,0.2317950308123848,294.71533613445376,0.6292016806722689
"Eugene, OR",416.0,812.0,64.0,101.0,603572.0,141016.0,120714.0,25615.0,5630.0,1708.0,411.0,210.0,141.0,854.0,205.0,105.0,71.0,557.0,134.0,69.0,46.0,375.0,586.0,371.0,272.0,188.0,294.0,186.0,136.0,122.0,191.0,121.0,88.0,0.2336357551377466,499.6456953642384,0.6556291390728477
"Evanston, IL",666.0,1349.0,137.0,234.0,711961.0,162705.0,142392.0,30146.0,6609.0,2010.0,302.0,149.0,99.0,1005.0,151.0,74.0,49.0,655.0,98.0,49.0,32.0,441.0,322.0,188.0,133.0,220.0,161.0,94.0,66.0,144.0,105.0,62.0,43.0,0.2285307762644302,350.37450787401576,0.672244094488189
"Evansville, IN",1050.0,1602.0,157.0,243.0,528945.0,115347.0,105789.0,22292.0,4860.0,1486.0,142.0,93.0,69.0,743.0,71.0,46.0,34.0,485.0,46.0,30.0,23.0,324.0,206.0,133.0,99.0,162.0,103.0,67.0,49.0,106.0,68.0,44.0,32.0,0.2180699316564104,245.5640668523677,0.5125348189415042
"Everett, WA",319.0,635.0,26.0,55.0,542404.0,104811.0,108481.0,22603.0,4862.0,1507.0,472.0,237.0,158.0,753.0,236.0,119.0,79.0,491.0,154.0,77.0,52.0,324.0,1246.0,589.0,390.0,162.0,623.0,295.0,195.0,106.0,408.0,193.0,128.0,0.1932341944380941,570.3512092534174,0.6645636172450052
"Fargo/Moorhead MN, ND",734.0,1303.0,48.0,114.0,432080.0,90275.0,86416.0,18134.0,3934.0,1209.0,165.0,93.0,65.0,604.0,82.0,46.0,32.0,394.0,54.0,30.0,21.0,262.0,546.0,230.0,146.0,131.0,273.0,115.0,73.0,86.0,179.0,75.0,48.0,0.2089312164413997,230.81196581196585,0.607905982905983
"Flint, MI",458.0,916.0,58.0,109.0,426480.0,89340.0,85296.0,17904.0,3885.0,1194.0,261.0,130.0,87.0,597.0,130.0,65.0,43.0,389.0,85.0,42.0,28.0,259.0,447.0,238.0,161.0,130.0,224.0,119.0,81.0,84.0,145.0,77.0,52.0,0.2094822734946539,310.16727272727275,0.6669090909090909
"Florence, SC",481.0,865.0,79.0,151.0,287862.0,62812.0,57572.0,12132.0,2645.0,809.0,168.0,94.0,65.0,404.0,84.0,47.0,32.0,264.0,55.0,31.0,21.0,176.0,223.0,117.0,79.0,88.0,111.0,58.0,39.0,58.0,73.0,38.0,26.0,0.2182017772404832,230.65865384615384,0.6145833333333333
"Fort Collins, CO",341.0,523.0,14.0,22.0,287995.0,47223.0,57599.0,11841.0,2506.0,789.0,231.0,151.0,112.0,395.0,116.0,76.0,56.0,257.0,75.0,49.0,37.0,167.0,1193.0,759.0,539.0,84.0,600.0,382.0,271.0,54.0,386.0,245.0,174.0,0.1639715967291098,409.0838068181818,0.515625
"Fort Lauderdale, FL",2753.0,5038.0,292.0,600.0,2396614.0,619365.0,479323.0,102839.0,22893.0,6856.0,249.0,136.0,94.0,3428.0,125.0,68.0,47.0,2236.0,81.0,44.0,31.0,1526.0,523.0,254.0,168.0,763.0,261.0,127.0,84.0,498.0,171.0,83.0,55.0,0.2584333563936453,327.27215622012835,0.624061177113205
"Fort Myers, FL",1089.0,2102.0,97.0,182.0,1079022.0,373713.0,215804.0,48103.0,11163.0,3207.0,294.0,153.0,103.0,1603.0,147.0,76.0,51.0,1046.0,96.0,50.0,34.0,744.0,767.0,409.0,278.0,372.0,384.0,204.0,139.0,243.0,251.0,134.0,91.0,0.3463441894604558,346.3955056179775,0.6504012841091493
"Fort Smith, AR",487.0,709.0,55.0,71.0,281971.0,62427.0,56394.0,11901.0,2599.0,793.0,163.0,112.0,85.0,397.0,82.0,56.0,43.0,259.0,53.0,37.0,28.0,173.0,315.0,244.0,199.0,87.0,158.0,123.0,100.0,56.0,102.0,79.0,64.0,0.221395108007561,302.8689581095596,0.476906552094522
"Fort Wayne, IN",1038.0,1740.0,143.0,259.0,651379.0,132442.0,130276.0,27269.0,5898.0,1818.0,175.0,104.0,74.0,909.0,88.0,52.0,37.0,593.0,57.0,34.0,24.0,393.0,275.0,152.0,105.0,197.0,138.0,76.0,52.0,128.0,90.0,49.0,34.0,0.2033255600809974,266.73996723996726,0.5749385749385749
"Fort Worth, TX",1400.0,2800.0,187.0,344.0,1764292.0,277941.0,352858.0,72324.0,15247.0,4822.0,344.0,172.0,115.0,2411.0,172.0,86.0,57.0,1572.0,112.0,56.0,37.0,1016.0,543.0,295.0,203.0,508.0,272.0,148.0,101.0,331.0,177.0,96.0,66.0,0.1575368476420003,420.0695238095238,0.6666666666666667
